FileName;Group;ShortName
GSM3355625_P1492-02-BS5605-U133Plus-2.cel;MM;MM139
GSM3355626_P1591-04-BS5742-U133Plus-2.cel;MM;MM140
GSM3355627_P1594-02-BS5871-U133Plus-2.cel;MM;MM141
GSM3355628_P1599-03-BS6194-U133Plus-2.cel;MM;MM142
GSM3355629_P1644-02-BS6827-U133Plus-2.cel;MM;MM143
GSM3355630_P1748-02-BS7643-U133Plus-2.cel;MM;MM144
GSM3355631_P1779-02-BS7783-U133Plus-2.cel;MM;MM145
GSM3355632_P1780-01-BS5094-U133Plus-2.cel;MM;MM146
GSM3355633_P1781-01-BS7871-U133Plus-2.cel;MM;MM147
GSM3355634_P1670-02-BS6762-U133Plus-2.cel;MM;MM148
GSM3355635_P1782-01-BS7432-U133Plus-2.cel;MM;MM149
GSM3355636_P1587-03-BS6439-U133Plus-2.cel;MM;MM150
GSM3355637_P1783-01-BS7873-U133Plus-2.cel;MM;MM151
GSM3355638_P1788-01-BS7474-U133Plus-2.cel;MM;MM152
GSM3355639_P1789-01-BS7516-U133Plus-2.cel;MM;MM153
GSM3355640_P1790-01-BS7745-U133Plus-2.cel;MM;MM154
GSM3355641_P1605-02-BS6443-U133Plus-2.cel;MM;MM155
GSM3355642_P1784-01-BS7829-U133Plus-2.cel;MM;MM156
GSM3355643_P1503-02-BS4359-U133Plus-2.cel;MM;MM157
GSM3355644_P1579-02-BS6355-U133Plus-2.cel;MM;MM158
GSM3355645_P1803-01-BS7748-U133Plus-2.cel;MM;MM159
GSM3355646_P1707-00-BS7568-U133Plus-2.cel;MM;MM160
GSM3355647_P1646-02-BS6852-U133Plus-2.cel;MM;MM161
GSM3355648_P1603-02-BS6450-U133Plus-2.cel;MM;MM162
GSM3355649_P1583-02-BS6181-U133Plus-2.cel;MM;MM163
GSM3355650_P1634-03-BS8179-U133Plus-2.cel;MM;MM164
GSM3355651_P1571-04-BS5516-U133Plus-2.cel;MM;MM165
GSM3355653_P1908-03-BS8949-U133Plus-2.cel;MM;MM166
GSM3355654_P1939-01-BS8712-U133Plus-2.cel;MM;MM167
GSM3355656_P1978-03-BS9505-U133Plus-2.cel;MM;MM168
GSM3355657_P1975-05-BS9095-U133Plus-2.cel;MM;MM169
GSM3355658_P2011-01-BS9507-U133Plus-2.cel;MM;MM170
GSM3355659_P1989-03-BS9065-U133Plus-2.cel;MM;MM171
GSM3355660_P1919-03-BS9064-U133Plus-2.cel;MM;MM172
GSM3355661_P1984-00-BS9133-U133Plus-2.cel;MM;MM173
GSM3355662_P2001-07-BS8946-U133Plus-2.cel;MM;MM174
GSM3355663_P2013-03-BS9451-U133Plus-2.cel;MM;MM175
GSM3355664_P1986-03-BC0428-U133Plus-2.cel;MM;MM176
GSM3355665_P1983-00-BS9310-U133Plus-2.cel;MM;MM177
GSM3355666_P1905-04-BS8914-U133Plus-2.cel;MM;MM178
GSM3355667_P2045-03-BS9132-U133Plus-2.cel;MM;MM179
GSM3355668_P2134-01-BC0342-U133Plus-2.cel;MM;MM180
GSM3355669_P2146-01-BS9995-U133Plus-2.cel;MM;MM181
GSM3355670_P1979-04-BS9577-U133Plus-2.cel;MM;MM182
GSM3355671_P2061-03-BS9774-U133Plus-2.cel;MM;MM183
GSM3355672_P2018-03-BS9735-U133Plus-2.cel;MM;MM184
GSM3355673_P2032-02-BS9775-U133Plus-2.cel;MM;MM185
GSM3355674_P2135-00-BS9558-U133Plus-2.cel;MM;MM186
GSM3355675_P2120-02-BC0153-U133Plus-2.cel;MM;MM187
GSM3355676_P2066-03-BC0214-U133Plus-2.cel;MM;MM188
GSM3355677_P2106-02-BC0151-U133Plus-2.cel;MM;MM189
GSM3355678_P2022-02-BS9891-U133Plus-2.cel;MM;MM190
GSM3355679_P2121-02-BC0077-U133Plus-2.cel;MM;MM191
GSM3355680_P1442-00-BS5108-U133Plus-2.cel;MM;MM192
GSM3355681_P2015-03-BS9845-U133Plus-2.cel;MM;MM193
GSM3355682_P2039-04-BS9929-U133Plus-2.cel;MM;MM194
GSM3355683_P2175-01-BS5539-U133Plus-2.cel;MM;MM195
GSM3355684_P1412-00-BS4825-U133Plus-2.cel;MM;MM196
GSM3355685_P1452-00-BS4813-U133Plus-2.cel;MM;MM197
GSM3355686_P2176-02-BC1276-U133Plus-2.cel;MM;MM198
GSM3355687_P2191-02-BC1243-U133Plus-2.cel;MM;MM199
GSM3355688_P2197-02-BC1278-U133Plus-2.cel;MM;MM200
GSM3355689_P2213-01-BC1553-U133Plus-2.cel;MM;MM201
GSM3355690_P1483-01-BS5775-U133Plus-2.cel;MM;MM202
GSM3355691_P2181-02-BC1404-U133Plus-2.cel;MM;MM203
GSM3355696_P2231-01-BC0554-U133Plus-2.cel;MM;MM204
GSM3355697_P2229-01-BC1600-U133Plus-2.cel;MM;MM205
GSM3355698_P2079-03-BC1539-U133Plus-2.cel;MM;MM206
GSM3355700_P2204-02-BC1457-U133Plus-2.cel;MM;MM207
GSM3355701_P2232-01-BC1617-U133Plus-2.cel;MM;MM208
GSM3355704_P2252-01-BC1727-U133Plus-2.cel;MM;MM209
GSM3355706_P2258-01-BC1890-U133Plus-2.cel;MM;MM210
GSM3355707_P2259-01-BC1872-U133Plus-2.cel;MM;MM211
GSM3355708_P2007-02-BC0293-U133Plus-2.cel;MM;MM212
GSM3355710_P2068-04-BC0461-U133Plus-2.cel;MM;MM213
GSM3355711_P2097-00-BC0356-U133Plus-2.cel;MM;MM214
